Date : 2023-04-08 09:11:45
Directory : /Users/bytedance/Downloads/music-master
Total : 138 files,  44377 codes, 64 comments, 3117 blanks, all 47558 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     27,399 |          0 |          2 |     27,401 |
| CSS        |         96 |     13,491 |          1 |      2,904 |     16,396 |
| Vue        |         30 |      3,031 |         35 |        186 |      3,252 |
| JavaScript |          7 |        414 |         27 |         19 |        460 |
| Markdown   |          1 |         26 |          0 |          5 |         31 |
| HTML       |          1 |         16 |          1 |          1 |         18 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        138 |     44,377 |         64 |      3,117 |     47,558 |
| . (Files)                                                                          |          6 |     27,443 |          3 |          8 |     27,454 |
| public                                                                             |         96 |     13,463 |          1 |      2,895 |     16,359 |
| public (Files)                                                                     |          1 |         16 |          1 |          1 |         18 |
| public/theme                                                                       |         95 |     13,447 |          0 |      2,894 |     16,341 |
| public/theme/element                                                               |         95 |     13,447 |          0 |      2,894 |     16,341 |
| src                                                                                |         36 |      3,471 |         60 |        214 |      3,745 |
| src (Files)                                                                        |          3 |         45 |          8 |          4 |         57 |
| src/api                                                                            |          1 |        193 |          4 |          1 |        198 |
| src/assets                                                                         |          1 |         44 |          1 |         10 |         55 |
| src/assets/css                                                                     |          1 |         44 |          1 |         10 |         55 |
| src/components                                                                     |         12 |        736 |         12 |         51 |        799 |
| src/router                                                                         |          1 |         93 |          0 |          3 |         96 |
| src/utils                                                                          |          1 |         75 |         12 |         10 |         97 |
| src/views                                                                          |         17 |      2,285 |         23 |        135 |      2,443 |
| src/views (Files)                                                                  |         12 |      1,793 |          6 |        114 |      1,913 |
| src/views/home                                                                     |          2 |        184 |         16 |          6 |        206 |
| src/views/mine                                                                     |          1 |         11 |          0 |          1 |         12 |
| src/views/search                                                                   |          1 |         60 |          0 |          2 |         62 |
| src/views/today                                                                    |          1 |        237 |          1 |         12 |        250 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/bytedance/Downloads/music-master/README.md                                  | Markdown   |         26 |          0 |          5 |         31 |
| /Users/bytedance/Downloads/music-master/babel.config.js                            | JavaScript |          5 |          0 |          1 |          6 |
| /Users/bytedance/Downloads/music-master/package-lock.json                          | JSON       |     27,346 |          0 |          1 |     27,347 |
| /Users/bytedance/Downloads/music-master/package.json                               | JSON       |         47 |          0 |          1 |         48 |
| /Users/bytedance/Downloads/music-master/public/index.html                          | HTML       |         16 |          1 |          1 |         18 |
| /Users/bytedance/Downloads/music-master/public/theme/element/alert.css             | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/aside.css             | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/autocomplete.css      | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/avatar.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/backtop.css           | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/badge.css             | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/base.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/breadcrumb-item.css   | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/breadcrumb.css        | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/button-group.css      | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/button.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/calendar.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/card.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/carousel-item.css     | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/carousel.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/cascader-panel.css    | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/cascader.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/checkbox-button.css   | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/checkbox-group.css    | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/checkbox.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/col.css               | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/collapse-item.css     | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/collapse.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/color-picker.css      | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/container.css         | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/date-picker.css       | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/descriptions-item.css | CSS        |          1 |          0 |          0 |          1 |
